blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Rutana Burundi Espresso,JBC Coffee Roasters,"Evaluated as espresso. Richly tart yet profoundly sweet. Raspberry-toned dark chocolate, orange or tangerine marmalade, crisp cedar, a hint of flowers in aroma and small cup. Full, buttery mouthfeel. Flavor rounds without losing its complexity or sweetly tart authority in two- to four-parts milk.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","Madison, Wisconsin","['Chocolate', 'Orange', 'Tangerine', 'Cedar']",Burundi,$13.99/12 ounces,February 2013,Medium-Dark,608-256-5282,www.jbccoffeeroasters.com
Sumatra Wahana Natural,Bard Coffee,"Immense, resonant, shifting aroma and flavor. Rose- and lavender-like flowers, cantaloupe, peppercorn, dark chocolate, rye whisky just as starters. Functional, integrated acidity; lightly syrupy mouthfeel. Long, rich, flavor saturated finish with a dry, savory edge.","['Fruity', 'Chocolatey']","Portland, Maine","['Cantaloupe', 'Chocolate']","Lintong growing region, northern Sumatra, Indonesia.",$16.20/12 ounces,February 2013,Medium-Light,207-899-4788,www.bardcoffee.com
Harfusa Ethiopia Yirgacheffe Fair Trade Organic,JBC Coffee Roasters,"Complex but harmonious. Honey and a very sweet citrus suggesting candied lemon dominate in aroma and cup, with complications of almond, fresh-cut fir and a soft caramel. Smoothly and sweetly tart acidity; syrupy mouthfeel. Deep, flavor-saturated finish.","['Sweet', 'Fruity', 'Nutty']","Madison, Wisconsin","['Honey', 'Lemon', 'Almond', 'Caramel']","Yirgacheffe growing district, southern Ethiopia.",$14.99/12 ounces,February 2013,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Kenya Mukurweini Kamuchuni AA,Victrola Coffee Roasters,"Sweetly tart, richly dry. Blackberry and black currant notes dominate in aroma and cup, supported by hints of flowers, honey and cedar. Round, complexly expressed acidity; very smooth, silky mouthfeel. Flavor consolidates in a sweet-toned, resonant finish.","['Fruity', 'Sweet', 'Earthy/Herbal']","Seattle, Washington","['Blackberry', 'Honey', 'Cedar']","Mukurweini District, Central Kenya.",$18.00/12 ounces,February 2013,Medium,206-624-1725,www.victrolacoffee.com
Sweet Breeze,GreenAlives,"Complex, richly theatrical blend. Sweet, honeysuckle-like flowers, pronounced brandy-toned blueberry, hints of mint, dark chocolate, cedar. Round, crisply rich acidity; syrupy mouthfeel. Flavor sustains in the short finish, fades slightly in the long.","['Fruity', 'Earthy/Herbal', 'Chocolatey']","New Taipei City, Taiwan","['Blueberry', 'Mint', 'Chocolate', 'Cedar']",Kenya; Yirgacheffe region of Ethiopia; other undisclosed origins.,NTD $500/8 ounces,January 2013,Medium-Light,886-0921-884,www.greenalives.com
Washed Yirgacheffe,GreenAlives,"Crisply sweet, extravagantly aromatic. Honey, rose-like flowers, orange, almond, a hint of fresh-cut cedar in aroma and cup. Delicate, balanced acidity; silky, lively mouthfeel. Floral notes in particular sustain in a flavor-saturated, slightly drying finish.","['Sweet', 'Fruity', 'Nutty', 'Earthy/Herbal']","New Taipei City, Taiwan","['Honey', 'Orange', 'Almond', 'Cedar']","Yirgacheffe growing region, southern Ethiopia.",NTD $400/8 ounces,January 2013,Light,886-0921-884,www.greenalives.com
Ninety Plus Sillvia SK L95,Knockbox Coffee,"Intense, heady blueberry and lush, lily-like flowers with deepening suggestions of cedar and brandy in aroma and cup, and a savory hint in the cup. Impressive structure: sweet-toned acidity; full syrupy mouthfeel. The finish is sweet and blueberry-toned with a continuing savory edge.","['Fruity', 'Earthy/Herbal']","Hong Kong, China","['Blueberry', 'Cedar']","Silla Del Pando, Volcan, Panama.",$40.00/100 grams,January 2013,Medium-Light,,www.knockboxcoffee.hk
Yirgacheffe Belekatu,Novo Coffee,"Delicate, with crisp, exhilarating aromatics. Roasted cocoa nib, complexly layered flowers (lilac, lily, more), ripe grapefruit, a hint of cedar in aroma and sweet-toned cup. Lively, gently bright acidity; light but buoyantly plush mouthfeel. The short finish is rather drying and simple, but flavor and sweetness reassert themselves in a long finish that rings on and on.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","Denver, Colorado","['Cocoa', 'Grapefruit', 'Cedar']","Yirgacheffe growing region, southern Ethiopia.",$15.00/12 ounces,January 2013,Medium-Light,303-295-7678,www.novocoffee.com
Yirgacheffe Blue Nile,Highwire Coffee Roasters,"Bright and exhilaratingly complex. Jasmine-like flowers, tangerine, raspberry, a hint of hazelnut in aroma and cup. Sweetly tart, floral-toned acidity; lightly syrupy mouthfeel. Gently dry, quietly flavor-saturated finish.","['Fruity', 'Nutty']","Emeryville, California","['Tangerine', 'Raspberry', 'Hazelnut']","Yirgacheffe growing region, southern Ethiopia.",$17.50/16 ounces,January 2013,Medium-Light,510-420-0473,www.highwirecoffee.com
Ethiopia Yirgacheffe Kochere,Paradise Roasters,"Delicately but giddily complex. Honey, narcissus, sweet chocolate, softly tart tangerine in aroma and cup. Gentle but vibrant acidity; light but syrupy mouthfeel. Remarkably sweet and flavor-saturated though slightly drying in a long, complexly developing finish.","['Sweet', 'Chocolatey', 'Fruity']","Ramsey, Minnesota","['Honey', 'Chocolate', 'Tangerine']","Yirgacheffe growing region, southern Ethiopia.",$14.95/12 ounces,January 2013,Medium-Light,763-433-0626,www.paradiseroasters.com
Mario San Jose Geisha,PT's Coffee Roasting Co.,"A remarkably sweet, spicy aromatic wood note – think sandalwood – leads the usual intense array of Gesha aromatic excitement: complex floral notes, honey, crisp baker’s chocolate, tartly ripe raspberry. Round, rich acidity; lively, lightly syrupy mouthfeel. Chocolate in particular surfaces in a long, balanced, flavor-saturated finish.","['Sweet', 'Chocolatey', 'Fruity']","Topeka, Kansas","['Honey', 'Chocolate', 'Raspberry']","Boquete growing region, western Panama",$67.40/8 ounces,December 2012,Medium-Light,888-678-5282,www.ptscoffee.com
Panama Don Pachi Natural Geisha,PT's Coffee Roasting Co.,"Fresh, lyric, exceptional. Honey, flowers (lavender, violets), raw baker’s chocolate, and a lavish fruit sensation suggesting nectarine, guava, peach and doubtless much more. The acidity is gentle and backgrounded but vibrant; the mouthfeel smoothly syrupy but buoyant. Almost everything in the cup is hinted at in the rich finish.","['Sweet', 'Floral', 'Chocolatey', 'Fruity']","Topeka, Kansas","['Honey', 'Lavender', 'Chocolate', 'Nectarine', 'Peach']","Boquete growing region, western Panama",$59.99/8 ounces,December 2012,Light,888-678-5282,www.ptscoffee.com
Kenya Kamviu,Temple Coffee and Tea,"Exhilaratingly complex; flawlessly balanced and complete. Black currant, blackberry, grapefruit and flowers in aroma and cup; lushly tart, sweetly lively acidity. Buoyant, active mouthfeel; long, resonantly flavor-saturated finish.",['Fruity'],"Sacramento, California","['Blackberry', 'Grapefruit']","Embu District, Central Highlands, Kenya.",$16.50/12 ounces,December 2012,Medium,916-454-1282,www.templecoffee.com
Panama La Esmeralda Especial,Kean Coffee,"Delicate, crisp, vibrantly complex. Floral suggestions range from honeysuckle to rose to lavender. Honey, cocoa-nib, almond in aroma and cup. Gently and sweetly brisk acidity; quite light but very silky mouthfeel. Flavor-saturated finish has deep and lasting persistence despite the delicacy of the cup.","['Floral', 'Sweet', 'Nutty']","Newport Beach, California","['Honeysuckle', 'Rose', 'Lavender', 'Honey', 'Almond']","Boquete growing region, western Panama",$39.95/10 ounces,December 2012,Medium-Light,949-933-9164,www.keancoffee.com
Jingle Bell Natural Yirgacheffe,Marcheur Roaster,"Sweetly pungent, intensely complex dried-in-the-fruit profile. Notes range from a honey eucalyptus note with a slight savory edge, through very complex floral notes including sweet (honeysuckle) and bittersweet (lavender) to zesty tangerine and crisp roasted cocoa nib. Rich, deep acidity; silky/syrupy mouthfeel. Impressively long, resonant finish.","['Sweet', 'Floral', 'Fruity', 'Chocolatey']","Taipei City, Taiwan","['Honey', 'Honeysuckle', 'Lavender', 'Tangerine', 'Cocoa']","Yirgacheffe growing region, southern Ethiopia.",$10.00/8 ounces,December 2012,Light,,
Rwanda Abakundakawa,Kickapoo Coffee,"Amazingly and giddily sweet. Honey, lush night-blooming flowers and ripe orange in aroma and cup. Juicy, lyric acidity; syrupy mouthfeel. Flavor consolidates more than fades in a remarkably rich, honey-toned finish.","['Sweet', 'Fruity']","Viroqua, Wisconsin","['Honey', 'Orange']","Gakenke District, Rwanda.",$14.75/12 ounces,December 2012,Medium-Light,,
Ethiopia Nekisse,Blue Bottle Coffee,"Big, complex but balanced dried-in-the-fruit profile. Honey, nectarine, fresh blueberry, hints of milk chocolate, fir and walnut in aroma and cup. Rich, lyrically sweet acidity; lightly syrupy mouthfeel. Juicy finish.","['Sweet', 'Fruity', 'Chocolatey', 'Nutty']","Oakland, California","['Honey', 'Nectarine', 'Blueberry', 'Chocolate', 'Walnut']","Sidama (also Sidamo) growing region, southern Ethiopia.",$15.00/5.3 ounces,December 2012,Light,510-653-3394,www.bluebottlecoffee.net
Perci Red Panama Gesha,Barrington Coffee Roasting Co.,"This extraordinary coffee almost defies description with its aromatic complexity while retaining a classic clarity of structure. The fruit notes suggest in particular tartly sweet tropical fruit like guava, passion fruit or fresh lychee. The floral notes are almost as complex, provoking associations ranging from bitter lavender to lush honeysuckle. Additional complications include a lightly fermented brandy note and crisp roasted cocoa nib. The acidity is rich and juicy, the mouthfeel syrupy yet buoyantly lively. The finish is long and deeply flavor-saturated.","['Fruity', 'Floral', 'Chocolatey']","Lee, Massachusetts","['Lychee', 'Lavender', 'Honeysuckle', 'Cocoa']","Silla Del Pando, Volcan, Panama.",$75.95/16 ounces,December 2012,Medium,800-528-0998,www.barringtoncoffee.com
"Finca El Injerto Patagonia, Guatemala",PT's Coffee Roasting Co.,"Very sweet yet richly dry, elegant. Fragrant, fresh-cut cedar, orange, blackberry, crisp chocolate in aroma and cup. Tartly sweet acidity; light but silky mouthfeel. Sweet, berry-toned, balanced finish.","['Earthy/Herbal', 'Fruity', 'Chocolatey']","Topeka, Kansas","['Cedar', 'Orange', 'Blackberry', 'Chocolate']","Huehuetenango growing region, Guatemala.",$19.95/8 ounces,November 2012,Medium-Light,888-678-5282,www.ptscoffee.com
Colombia Geisha,Green Mountain Coffee,"Gently intense, original. Complex, lavender-toned flowers, honey, crisp roasted cocoa nib, sweet orange zest in aroma and cup. Delicate acidity; very smooth, silky/syrupy mouthfeel. Resonant, quietly flavor-saturated finish.","['Sweet', 'Chocolatey', 'Fruity']","Waterbury, Vermont","['Honey', 'Cocoa', 'Orange']","Valle del Cauca growing region, Colombia.",$24.99/10 ounces,November 2012,Medium,888-879-4627,www.GreenMountainCoffee.com
Colombia La Esperanza Cerro Azul Geisha,PT's Coffee Roasting Co.,"Grandly and exhilaratingly complex. A bouquet of floral notes both meadowy and deep; grape and ripe mango-like fruit; crisp roasted cocoa nib in aroma and cup. Sweetly bright, balanced acidity; lightly syrupy and buoyantly lively mouthfeel. Long, super-flavor-saturated finish.","['Fruity', 'Chocolatey']","Topeka, Kansas","['Grape', 'Cocoa']","Trujillo, Valle del Cauca, Colombia.",$35.00/8 ounces,November 2012,Medium-Light,888-678-5282,www.ptscoffee.com
Ethiopia Washed Yirgacheffe Aroma Roast,Simon Hsieh's Aroma Roast Coffees,"Sweet, complex, briskly floral. Honey, lavender-like flowers, cocoaish chocolate, hints of fir and mint in aroma and cup. Softly bright acidity; silky mouthfeel. Very sweet, flavor-saturated finish.","['Sweet', 'Chocolatey', 'Earthy/Herbal']","Taoyuan City, Taiwan","['Honey', 'Chocolate', 'Mint']","Yirgacheffe growing region, southern Ethiopia.",NTD $950/16 ounces,November 2012,Medium,886-0983-749876,
Bourbon Duets,CofFeeling,"Evaluated as espresso. Balanced, richly complex, distinctive. Vanilla, hazelnut, candied ginger, dark chocolate and ripe, orangy raspberry in aroma and small cup. Full, round mouthfeel; raspberry, ginger and dark chocolate particularly saturate the finish. Preserves richness and complexity two parts milk.","['Sweet', 'Nutty', 'Spice', 'Chocolatey', 'Fruity']","Kaohsiung City, Taiwan","['Vanilla', 'Hazelnut', 'Ginger', 'Chocolate', 'Raspberry']",Not disclosed.,"NTD $1,000/16 ounces",November 2012,Medium,886-7-285,
Lycello Panama Gesha,Barrington Coffee Roasting Co.,"Crisply sweet, quietly but profoundly complex. Honey, lavender-like flowers, roasted cocoa nib, ripe orange and guava in aroma and cup. Sweet, lively acidity; light but silky mouthfeel. Long, resonant, deeply flavor-saturated finish.","['Sweet', 'Chocolatey', 'Fruity']","Lee, Massachusetts","['Honey', 'Cocoa', 'Orange']","Silla Del Pando, Volcan, Panama.",$45.45/16 ounces,November 2012,Medium-Light,800-528-0998,www.barringtoncoffee.com
Karatu Kenya AA,JBC Coffee Roasters,"Sweetly tart and exhilaratingly complex. Richly tart fruit – guava, passion fruit – dominate, rounded by a cocoaish chocolate and lush night blooming flowers. Crisp, juicy acidity; light but very silky, lively mouthfeel. Resonantly flavor-saturated, slightly drying finish.",['Chocolatey'],"Madison, Wisconsin",['Chocolate'],"Thika growing region, central Kenya.",$16.99/12 ounces,October 2012,Medium,608-256-5282,www.jbccoffeeroasters.com
Kenya Mamuto,Terroir Coffee,"Crisp, sweetly pungent, elegant. Guava, citrus, backgrounded caramel and dark chocolate in aroma and cup. Rich, active, juicy acidity; syrupy but lively mouthfeel. Very sweet, long, flavor-saturated finish.","['Sweet', 'Chocolatey']","Acton, Massachusetts","['Caramel', 'Chocolate']","Kirinyaga region, south-central Kenya",$25.00/12 ounces,October 2012,Medium-Light,866-444-5282,www.terroircoffee.com
Kenya Thunguri – Top Auction Lot,PT's Coffee Roasting Co.,"Subtle, deep, complex. Night-blooming flowers, red grape, coconut, roasted cocoa nibs, a hint of fir in aroma and cup. Very rich, round acidity; lightly syrupy mouthfeel. Flavor carries deep into a resonant finish.","['Fruity', 'Chocolatey']","Topeka, Kansas","['Grape', 'Coconut', 'Cocoa']","Kirinyaga District, Central Highlands, Kenya.",$18.94/12 ounces,October 2012,Medium,888-678-5282,www.ptscoffee.com
Kenya Nyeri AA Tegu,ChacolaTAY,"Richly tart, resonantly complex. Orange, black currant, walnut, honeysuckle and jasmine in aroma and cup. Sweetly tart acidity; lightly syrupy mouthfeel. Long, deep finish, resonant with flavor.","['Fruity', 'Nutty', 'Floral']","Taichung City, Taiwan","['Orange', 'Walnut', 'Honeysuckle', 'Jasmine']","Nyeri growing region, south-central Kenya.",TWD $450/100 grams,October 2012,Medium-Light,886-935-730422,
Panama Gesha Estates: Perci Estate 29 Natural,Willoughby's Coffee & Tea,"Exhilaratingly complex: crisp, lavender-like flowers, honey, roasted cocoa nib, pipe tobacco, a clean hint of brandy in aroma and cup. The acidity is lushly floral-toned and resonant, the mouthfeel syrupy but lively. Clean, sweet, lightly flavor-saturated finish.","['Sweet', 'Chocolatey', 'Earthy/Herbal']","Branford, Connecticut","['Honey', 'Cocoa', 'Tobacco']","Silla Del Pando, Volcan, Panama.",$45.00/8 ounces,October 2012,Medium-Light,800-388-8400,www.willoughbyscoffee.com
Ethiopia Hachira,Thirty-Thirty Coffee Co.,"Complex, original, deeply sweet-toned. Symphonic fruit notes suggest melon, cidery pear, mint, apricot, even banana. Smoothly rich acidity; full, buoyantly lively mouthfeel. Fruit consolidates toward chocolate in a simplifying but resonant finish.","['Fruity', 'Earthy/Herbal', 'Chocolatey']","Peoria, Illinois","['Pear', 'Mint', 'Apricot', 'Banana', 'Chocolate']","Yirgacheffe growing region, southern Ethiopia.",$25.00/8 ounces,October 2012,Medium-Light,309-713-2983,www.thirty
Goldilocks Espresso,Thirty-Thirty Coffee Co.,"Evaluated as espresso. Bright, complex, floral-toned. In the small cup gently tart citrus, stone fruit, vanilla-toned chocolate with lush floral top notes. Full, creamy mouthfeel. Flowers, fruit and chocolate all persist in a resonant finish. Two parts milk round the fruit and flowers toward chocolate.",['Chocolatey'],"Peoria, Illinois",['Chocolate'],Not disclosed.,$15.00/12 ounces,October 2012,Medium-Light,309-713-2983,www.thirty
Roastmaster’s Reserve Esmeralda,Caribou Coffee,"Intense, exhilaratingly complex, resonant. A cascade of floral notes ranging in suggestion from bitter lavender to lush honeysuckle. Honey, tangerine, and a crisp, cocoaish chocolate. Round, richly stated acidity; syrupy, lively mouthfeel. Deep, flavor-saturated finish.","['Floral', 'Sweet', 'Fruity', 'Chocolatey']","Minneapolis, Minnesota","['Lavender', 'Honeysuckle', 'Honey', 'Tangerine', 'Chocolate']","Boquete growing region, western Panama",$19.99/8 ounces,September 2012,Medium,888-227-4268,www.cariboucoffee.com
Panama Don Pachi Natural Geisha,Bird Rock Coffee Roasters,"Very sweet, deeply and subtly complex. Lush night flowers, aromatic woods, tangerine, mint-toned cocoa in aroma and cup. Richly nuanced acidity; full, syrupy mouthfeel. A savory tendency is particularly noticeable in a resonant, gently drying finish.","['Fruity', 'Chocolatey']","La Jolla, California","['Tangerine', 'Cocoa']","Boquete growing region, western Panama",$59.99/8 ounces,September 2012,Medium-Light,858-551-1707,www.birdrockcoffee.com
Ethiopia Nanno Challa Cooperative,PT's Coffee Roasting Co.,"Spectacularly and complexly sweet: honey, lilac-like flowers, candied orange, balanced by a crisp roasted cocoa-nib-like chocolate. Delicate but rich acidity; round, lightly syrupy mouthfeel. Very sweet, long, flavor-saturated finish.","['Sweet', 'Fruity', 'Chocolatey']","Topeka, Kansas","['Honey', 'Orange', 'Chocolate']",Western Ethiopia,$16.93/12 ounces,August 2012,Medium,888-678-5282,www.ptscoffee.com
"Esmeralda Leon, Panama Geisha Auction Lot",Klatch Coffee,"Intense, complex floral notes, from crisp lavender to sweet lilies, with an underlying nut-toned dark chocolate that suggests fine roasted cocoa nibs. Zesty orange citrus. Rich acidity; syrupy mouthfeel. The finish may be a tad too dry for some coffee drinkers but it is rich and deeply flavor-saturated.","['Floral', 'Chocolatey', 'Fruity']","Los Angeles, California","['Lavender', 'Chocolate', 'Cocoa', 'Orange']","Cañas Verdes, Boquete growing region, western Panama.",$39.95/8 ounces,August 2012,Medium-Light,877-455-2824,www.klatchroasting.com
Panama Don Pachi Natural Geisha,Klatch Coffee,"Extraordinary deep, shifting complexity. Honey, brandy, plum, dark chocolate, lush dusk flowers in aroma and cup, although along the way any number of other aromatic notes emerge with brief, startling clarity. Round, savory-sweet structure; rich, brandyish acidity; syrupy mouthfeel. Long, flavor-saturated finish.","['Sweet', 'Fruity', 'Chocolatey']","Los Angeles, California","['Honey', 'Plum', 'Chocolate']","Boquete growing region, western Panama",$59.95/8 ounces,August 2012,Medium-Light,877-455-2824,www.klatchroasting.com
Gelena Abaya Natural Processed Ethiopia,OQ Coffee Co.,"Symphonically complex aroma – honeyish chocolate, blueberry, guava, pineapple, dusk flowers – carries into the cup, where the opulent blueberry note in particular dominates. Juicy acidity; light, silky mouthfeel. Resonant, blueberry-saturated finish.","['Chocolatey', 'Fruity']","New Brunswick, New Jersey","['Chocolate', 'Blueberry', 'Pineapple']","Kersa district, Oromia region, southern Ethiopia.",$14.99/12 ounces,July 2012,Light,,www.oqcoffee.com
Ulos Batak Sumatra,JBC Coffee Roasters,"Sweetly pungent, exotic, complex. Distinct grapefruit and guava-like notes, freshly decomposed leaves, a softening hint of cocoa in aroma and cup. Gently rich, juicy acidity. Light but silky mouthfeel. Flavor persists far into a resonant, crisply drying finish.","['Fruity', 'Chocolatey']","Madison, Wisconsin","['Grapefruit', 'Cocoa']","Northern Sumatra, Indonesia",$14.99/12 ounces,June 2012,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Maui Mokka Peaberry,Rusty's Hawaiian Coffee,"Striking, original profile. Rich, rose-like flowers, blackberry, candied citrus, dark chocolate in aroma and cup. Soft, finely balanced acidity; very smooth, silky mouthfeel. Flavor saturates a crisply sweet, resonant finish.","['Fruity', 'Chocolatey']","Pahala, Hawaii","['Blackberry', 'Chocolate']","Kaanapali district, near Lahaina, West Maui, Hawaii",$24.00/8 ounces,June 2012,Medium-Dark,808-928-8916,www.rustyshawaiian.com
Kona Maragogipe Honey S.O. Espresso,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Crisp, delicate, refreshingly and cleanly fruit-toned. Tart cherry, ripe orange, cedar, baker’s chocolate in aroma and small cup. Light in body but surprisingly silky-syrupy in mouthfeel; deep, flavor-saturated finish. Continued delicate but very complex in two parts milk, with both chocolate and fruit rounding and sweetening.","['Fruity', 'Earthy/Herbal', 'Chocolatey']","Taoyuan City, Taiwan","['Cherry', 'Orange', 'Cedar', 'Chocolate']","Kona growing district, ""Big Island"" of Hawaii.",NT $1600/8 ounces,June 2012,Medium,886-0983-749876,
Panama Lerida Estate,Green Mountain Coffee,"Tartly sweet, vibrant, deep. Blackberry, orange, cedarish cocoa, fragrant night flowers in aroma and cup. Rich, resonant acidity; plush but crisp mouthfeel. The symphonic aromatics fade just slightly in the long, rich finish.","['Fruity', 'Chocolatey']","Waterbury, Vermont","['Blackberry', 'Orange', 'Cocoa']","Volcan Baru, western Panama.",$19.49/12 ounces,May 2012,Medium,888-879-4627,www.GreenMountainCoffee.com
Kenya Mamuto,Terroir Coffee,"Intense, rich, roundly tart: honey, lemon, black currant, flowers, flowering grass. Delicate, sweetly bright acidity; silky mouthfeel. Honey and ripe lemon saturate a long, rich finish.","['Sweet', 'Fruity']","Acton, Massachusetts","['Honey', 'Lemon']","Kirinyaga region, south-central Kenya",$29.00/12 ounces,May 2012,Medium-Light,866-444-5282,www.terroircoffee.com
Colombian La Esperanza,Barrington Coffee Roasting Co.,"Very sweet-toned but crisp, with blackberry, cedar, walnut, and a rounding, backgrounded milk chocolate in aroma and cup. Quietly balanced acidity; syrupy mouthfeel. A hint of ripe lemon complicates a smooth, clean finish.","['Fruity', 'Earthy/Herbal', 'Nutty', 'Chocolatey']","Lee, Massachusetts","['Blackberry', 'Cedar', 'Walnut', 'Chocolate', 'Lemon']","Valle del Cauca growing region, Colombia.",$17.95/16 ounces,March 2012,Medium-Light,800-528-0998,www.barringtoncoffee.com
Colombia Finca Villa Loyola,PT's Coffee Roasting Co.,"Finely poised and balanced. Ripe lemon, cocoa, peach, night flowers in aroma and cup. Rich, sweetly pungent acidity; plush, deep mouthfeel. Lemon notes in particular linger in the sweet-toned trajectory of a very long finish.","['Fruity', 'Chocolatey']","Topeka, Kansas","['Lemon', 'Cocoa', 'Peach']","Narino Department, southern Colombia",$18.35/12 ounces,March 2012,Medium-Light,888-678-5282,www.ptscoffee.com
El Vergel Guatemala,Terroir Coffee,"Big, bright, lushly complex. Fragrant eucalyptus, dark chocolate, jammy black currant, white flowers in aroma and cup. Very sweet acidity, tart yet pure and smooth. Syrupy mouthfeel. Exquisitely clean, deep, juicy finish.",['Chocolatey'],"Acton, Massachusetts",['Chocolate'],"Patzun growing region, Guatemala.",$16.50/12 ounces,March 2012,Medium-Light,866-444-5282,www.terroircoffee.com
Kenya Nyeri AA Gaturiri,The WestBean Coffee Roasters,"Crisply tart, dry berry and pungent grapefruit dominate in aroma and cup, with rounding hints of nut-toned cocoa and caramel. Intense, brightly balanced acidity; lightly syrupy mouthfeel. Rich, dry, flavor-saturated finish.","['Fruity', 'Chocolatey', 'Sweet']","San Diego, California","['Grapefruit', 'Cocoa', 'Caramel']","Nyeri growing region, central Kenya.",$15.99/8 ounces,March 2012,Medium-Dark,619-709-3232,www.thewestbean.com
Colombia Huila Monserrate Yaneth Gil Microlot,Victrola Coffee Roasters,"Deep, balanced, intense. Nut, flowers, stonefruit, sweet cocoa in aroma and cup. Sweetly crisp acidity; lively, lightly syrupy mouthfeel. The balance and completeness that characterizes the entire profile stretches into a long, resonant swoon of a finish.",['Chocolatey'],"Seattle, Washington",['Cocoa'],"Huila growing region, Colombia.",$9.50/8 ounces,March 2012,Medium,206-624-1725,www.victrolacoffee.com
Colombia El Roble Single Origin Espresso,Terroir Coffee,"Evaluated as espresso. Crisp, sweetly gentle, suave. Honey, orange, grapefruity citrus, fresh-cut fir in the aroma. Light, silky mouthfeel. Turns chocolaty and more distinctly citrusy in the light-bodied, silky cup. Superb flavor-saturated, sweetly clean  finish. In two parts milk the chocolate is nuanced by ripe citrus and a deeper, apricot-toned fruit.","['Sweet', 'Fruity', 'Chocolatey']","Acton, Massachusetts","['Honey', 'Orange', 'Chocolate']","Santander Department, Colombia.",$17.75/12 ounces,February 2012,Medium,866-444-5282,www.terroircoffee.com
Kenya AA Top Single Origin Espresso,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Impressive range and complexity. Pungently sweet grapefruit, blackberry, rose-like flowers, fresh-cut fir in aroma and small cup. Full, buttery mouthfeel. Rich, flavor-saturated finish; a hint of astringency in the short smoothes out to cocoaish chocolate in the long. Delicate, berryish fruit and sweet milk chocolate dominate in two parts milk.","['Fruity', 'Chocolatey']","Taoyuan City, Taiwan.","['Grapefruit', 'Blackberry', 'Chocolate']",Central Kenya.,NT$1400/16 ounces,February 2012,Medium,886-0983-749876,
El Salvador Santa Rita,Lexington Coffee Roasters,"Honey, fresh-cut fir and deeply layered, savory-sweet fruit: nectarine, table grape, black cherry, citrus zest. Rich, wine-like acidity; syrupy mouthfeel. The finish is long and flavor-saturated.","['Sweet', 'Fruity']","Lexington, Virginia.","['Honey', 'Nectarine', 'Grape', 'Cherry']","Santa Rita growing region, El Salvador.",$11.25/12 ounces.,February 2012,Medium-Light,800-322-6505,www.lexingtoncoffee.com
Kenya Meru Kinjo Peaberry,JBC Coffee Roasters,"Gracefully intense aromatics with suggestions of lemon blossom, tart plum and apple round into a sweet-toned cup: honey, lemon, stone fruit. Tartly bright acidity; dry but lightly syrupy mouthfeel; long floral and lemony finish.","['Fruity', 'Sweet']","Madison, Wisconsin.","['Lemon', 'Plum', 'Apple', 'Honey']","Meru County, central Kenya.",$19.99/12 ounces,February 2012,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Ethiopia Yirgacheffe Gedeo Worka Fair Trade Organic Certified,JBC Coffee Roasters,"Intense, sweetly bright, crisp yet lush. Layered fruit – berry, nectarine, green apple – are complicated by fresh-cut fir and almond in aroma and cup. Rich, roundly tart acidity; lightly syrupy mouthfeel. The powerful aromatics fade just slightly in a drying finish.","['Fruity', 'Nutty']","Madison, Wisconsin.","['Nectarine', 'Apple', 'Almond']","Yirgacheffe growing region, southern Ethiopia.",$15.99/12 onces,February 2012,Light,608-256-5282,www.jbccoffeeroasters.com
Rusty’s Hawaiian Red Caturra Natural,Willoughby's Coffee & Tea,"Very sweet, lushly bright dried-in-the-fruit profile. Flowers and a gently tart cherry in aroma and cup with rich, layered complication: minty milk chocolate, lemon, fresh-cut fir. Gently balanced acidity; plush, lightly syrupy mouthfeel. The clean, flavor-saturated finish is slightly drying in the long.","['Fruity', 'Chocolatey']","Branford, Connecticut","['Cherry', 'Chocolate', 'Lemon']","Ka'u growing district, southwestern corner of the ""Big Island"" of Hawaii.",$44.99/16 ounces,January 2012,Medium,800-388-8400,www.willoughbyscoffee.com
Guatemala El Injerto Pacamara,Willoughby's Coffee & Tea,"The tartly sweet, lemony berry note associated with some of the world’s finest coffees is particularly dominant here, a complexly layered sensation that combines suggestions of ripe citrus, blackberry, fresh-cut fir, cocoa and bracing, bitterish flowers. Delicate but rich acidity; very smooth, silky mouthfeel. The finish is sweet-toned with a slightly drying mouthfeel.","['Fruity', 'Chocolatey']","Branford, Connecticut","['Blackberry', 'Cocoa']","Huehuetenango growing region, Guatemala.",$34.99/16 ounces,January 2012,Medium,800-388-8400,www.willoughbyscoffee.com
